date,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio
2021-01-01,7190.993478260869,165392.84999999998,8021.64,6006.42,619.9061677427751,2015.2200000000003,0.8964492894546338,1.1155120671782366
2021-01-02,6654.449583333332,159706.78999999998,7801.92,5596.98,598.8546840825786,2204.9400000000005,0.8529246112922629,1.172436563279495
2021-01-03,6423.989166666665,154175.73999999996,7543.01,5499.93,582.4032097447734,2043.08,0.8516479716541095,1.1741940722969777
2021-01-04,6245.0754166666675,149881.81000000003,7630.92,5508.65,602.3930324888588,2122.2700000000004,0.8183908908318613,1.2219099836064162
2021-01-05,6035.062083333333,144841.49,7023.74,5079.55,595.9330573141742,1944.1899999999996,0.859237682962828,1.1638223274284185
2021-01-06,5634.242499999999,135221.81999999998,6477.38,4561.18,609.3163549867572,1916.1999999999998,0.8698335592477204,1.1496452273752862
2021-01-07,6343.80875,152251.41,7474.2,5308.24,675.5860909276413,2165.96,0.8487609041770358,1.1781881034796327
2021-01-08,7030.468750000001,168731.25000000003,8482.39,6174.22,707.3568963666786,2308.169999999999,0.8288311136366049,1.2065184131570172
2021-01-09,7276.096666666665,174626.31999999998,8523.29,6510.46,556.1236978498084,2012.8300000000008,0.8536723104184728,1.1714096706613302
2021-01-10,8176.115000000001,196226.76,9918.61,6203.12,1407.4049413725957,3715.4900000000007,0.8243206457356425,1.2131201677080128
2021-01-11,8549.546666666665,205189.11999999997,9629.25,7846.35,544.5042062652775,1782.8999999999996,0.8878725411290251,1.1262877875786008
2021-01-12,8536.148749999998,204867.56999999998,10566.68,7236.42,899.8727703418505,3330.26,0.80783640178372,1.2378743985687928
2021-01-13,7656.19125,183748.59,10023.77,6068.12,1132.9964533668444,3955.6500000000005,0.7638035639285418,1.3092371484319962
2021-01-14,6807.32125,163375.71,8683.44,5916.24,776.3547450372465,2767.2000000000007,0.783942913177266,1.275603086897067
2021-01-15,6732.452916666668,161578.87000000002,8093.78,5939.01,668.3435746711167,2154.7699999999995,0.8318057714277715,1.2022037287425018
2021-01-16,6775.111666666667,162602.68,8285.17,5610.48,748.2789495535254,2674.6900000000005,0.8177396078374574,1.2228831652713228
2021-01-17,6210.625416666667,149055.01,7385.4,5428.02,530.0108705282181,1957.3799999999992,0.8409328427257382,1.1891556010093185
2021-01-18,6284.449583333332,150826.78999999998,7257.71,5519.67,525.8836442017847,1738.04,0.8658997925424593,1.1548680443308514
2021-01-19,5766.700833333333,138400.82,6803.61,4478.78,768.1082562623616,2324.83,0.8475942673570845,1.1798097728033692
2021-01-20,6625.064166666667,159001.54,7427.57,5348.19,751.1445924426249,2079.38,0.891955803400933,1.1211317827487708
2021-01-21,6086.8625,146084.7,6732.79,5326.62,431.2696510380967,1406.17,0.9040624317704845,1.1061182998630246
2021-01-22,5750.9470833333335,138022.73,6352.38,4834.43,514.0662868564982,1517.9499999999998,0.9053216406029446,1.1045798036308947
2021-01-23,5543.336249999999,133040.06999999998,6294.06,4604.35,556.4019400992375,1689.71,0.8807250407527095,1.1354281458210298
2021-01-24,5492.063333333334,131809.52000000002,6433.36,4527.08,653.5084956080402,1906.2799999999997,0.8536850624453373,1.1713921725835885
2021-01-25,5622.747083333335,134945.93000000002,6479.44,4600.22,581.5855591359459,1879.2199999999993,0.8677828768123996,1.1523619867601784
2021-01-26,5772.032499999998,138528.77999999997,6753.71,4725.77,617.1536606153038,2027.9399999999996,0.8546461870586682,1.1700748393221976
2021-01-27,5897.610416666666,141542.65,6709.02,4792.19,665.6791917216004,1916.8300000000008,0.8790569139258291,1.1375827709881086
2021-01-28,6893.32875,165439.88999999998,8488.68,5903.3,782.259636067277,2585.38,0.8120613275562277,1.2314340876314656
2021-01-29,6492.341666666666,155816.19999999998,8205.16,5607.61,715.6948515507372,2597.55,0.7912510745270862,1.2638213484862293
2021-01-30,5453.835416666666,130892.04999999999,6146.35,4657.84,483.3510104871503,1488.5100000000002,0.8873291330084792,1.1269775360688448
2021-01-31,5456.135833333333,130947.26,6285.38,4654.95,493.4144012448331,1630.4300000000003,0.8680677752710787,1.1519837833949333
