date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-22,38492.49375,923819.8500000001,41896.84,32807.52,3189.4126314632754,9089.32,0.9187445580621356,1.0884418212057252
2021-01-23,37399.2275,897581.46,40458.09,32938.5,2632.4946143736965,7519.5899999999965,0.9243942929584665,1.0817894567474688
2021-01-24,36724.15708333333,881379.77,41131.95,31977.96,3146.233922938288,9153.989999999998,0.8928377352236725,1.1200243454646117
2021-01-25,37996.26041666667,911910.2500000001,41728.08,31701.15,3551.4659128633425,10026.93,0.9105681453991333,1.0982154438992213
2021-01-26,39049.74458333333,937193.87,43134.85,33199.82,3338.761883980581,9935.029999999999,0.9052945491483878,1.1046128588100987
2021-01-27,40188.17208333334,964516.1300000001,44160.76,34177.65,3495.405736646667,9983.11,0.9100425826759625,1.0988496791650337
2021-01-28,43893.94625,1.05345471e6,51663.47,39434.88,3717.7223921418827,12228.590000000004,0.8496128163671546,1.1770067267533504
2021-01-29,41551.69166666666,997240.5999999997,48871.54,37742.1,3208.357457630965,11129.440000000002,0.8502226790206868,1.1761624626995735
2021-01-30,36604.43750000001,878506.5000000001,39013.97,33006.76,2054.262499847679,6007.209999999999,0.9382392384061403,1.065826240329468
2021-01-31,36930.244583333326,886325.8699999999,40792.95,32781.04,2622.7465068262673,8011.909999999996,0.9053094856668451,1.1045946340255195
2021-02-01,40853.26625000001,980478.3900000001,47907.11,35849.82,3483.9603395446547,12057.29,0.852759981764711,1.172662907950475
2021-02-02,40511.34791666667,972272.3500000001,47524.18,37311.89,3036.494909880512,10212.29,0.8524365473884383,1.1731078437024356
2021-02-03,39082.66416666668,937983.9400000002,44705.32,35255.04,2655.6060212983025,9450.279999999999,0.8742284848126951,1.1438657254622075
2021-02-04,37451.1025,898826.46,41451.58,31184.54,3537.476510009888,10267.04,0.9034903494631568,1.1068186844432684
2021-02-05,39566.291666666664,949590.9999999999,43699.57,33597.25,3438.135502908854,10102.32,0.9054160410884287,1.1044646379335947
2021-02-06,38595.439583333326,926290.5499999998,42280.58,36012.92,1856.433072083642,6267.6600000000035,0.9128408262926697,1.0954812396607094
2021-02-07,39006.09166666667,936146.2,43128.04,36367.21,2064.713390346312,6760.830000000002,0.9044253266938787,1.1056744769139693
2021-02-08,39067.52291666667,937620.55,41891.96,34258.45,2721.154444530257,7633.510000000002,0.9325780631096438,1.0722962929940048
2021-02-09,43256.24041666667,1.03814977e6,48567.3,34628.65,5092.894374324904,13938.650000000001,0.8906453604928968,1.1227813497468675
2021-02-10,48209.1275,1.15701906e6,53979.78,39947.72,4970.9452083038195,14032.059999999998,0.8930960352191136,1.1197004135783208
2021-02-11,55645.27375,1.33548657e6,61120.0,46226.92,5598.934691726254,14893.080000000002,0.9104265993128272,1.098386185942701
2021-02-12,59896.08541666667,1.43750605e6,63997.23,53141.03,3909.7036824947318,10856.200000000004,0.9359168422862468,1.0684709953046807
2021-02-13,59134.57749999999,1.4192298599999999e6,64132.07,55251.93,2668.522150703171,8880.14,0.9220749852608842,1.0845104964181067
2021-02-14,62459.73333333334,1.4990336e6,69692.49,54701.39,5402.32322584071,14991.100000000006,0.8962189948060879,1.1157987119167976
2021-02-15,50168.21166666667,1.20403708e6,66270.52,44100.05,6735.447104662128,22170.47,0.7570215484451709,1.320966360936326
2021-02-16,45158.26541666666,1.0837983699999999e6,46796.66,43538.4,951.979505899152,3258.260000000002,0.964989070088905,1.0362811673171277
