date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio
2021-01-01,11330.917391304349,260611.1,12011.27,10723.9,410.78440496885077,1287.3700000000008,0.9433571463554102,1.060043912174117
2021-01-02,11348.370833333334,272360.9,12059.38,10694.92,467.66957336505135,1364.4599999999991,0.9410409849704823,1.0626529725816003
2021-01-03,10875.040416666667,261000.97,11502.6,10174.21,408.49698677489255,1328.3900000000012,0.9454419363158474,1.0577064138880403
2021-01-04,10907.737500000001,261785.7,11685.25,9586.24,747.9020535979873,2099.01,0.9334620568665627,1.071280822443701
2021-01-05,10760.206666666667,258244.96000000002,11627.08,9253.94,842.5703369357705,2373.1399999999994,0.9254435908815168,1.0805628888168815
2021-01-06,10912.424999999997,261898.19999999995,11844.1,9387.3,889.1756811887016,2456.800000000001,0.9213384723195512,1.0853774481840657
2021-01-07,11328.28875,271878.93,12242.81,9794.83,877.2865169685965,2447.9799999999996,0.9253013605536637,1.0807289847727442
2021-01-08,11821.152083333332,283707.64999999997,12582.65,10521.13,735.7964659674941,2061.5200000000004,0.9394803227724949,1.0644182488558205
2021-01-09,11722.581249999997,281341.94999999995,12779.92,10772.08,562.5629647025222,2007.8400000000001,0.9172656205985638,1.0901967516753193
2021-01-10,12678.381666666666,304281.16,14768.14,10577.9,1549.7598994813939,4190.24,0.8584954954832948,1.164828476399919
2021-01-11,13909.516249999999,333828.38999999996,15130.12,12341.7,921.6744670237895,2788.42,0.9193262346894802,1.087753141666591
2021-01-12,13352.917083333334,320470.01,15144.15,12335.58,777.7471584534575,2808.5699999999997,0.8817211321423344,1.1341454384452385
2021-01-13,12422.661249999997,298143.86999999994,14314.41,11477.29,869.1575295668313,2837.119999999999,0.8678430511631284,1.1522820844849169
2021-01-14,11865.352083333333,284768.45,13599.1,10927.32,759.981791824098,2671.7800000000007,0.8725100987075125,1.1461185394660118
2021-01-15,11940.205416666664,286564.92999999993,13184.57,10334.69,935.8697184970882,2849.879999999999,0.9056196308765977,1.1042163463617132
2021-01-16,11571.592916666668,277718.23000000004,12534.97,10562.18,536.3171287545001,1972.789999999999,0.9231448433196624,1.0832536272465798
2021-01-17,11025.61,264614.64,11829.07,10197.56,447.38026842263946,1631.5100000000002,0.9320775005981029,1.0728721585472367
2021-01-18,11270.447083333333,270490.73,12466.22,10407.51,626.3638790357315,2058.709999999999,0.90407894962012,1.1060980906813331
2021-01-19,10741.853749999998,257804.48999999996,11743.33,9171.6,922.6991696002431,2571.7299999999996,0.9147195684699313,1.093231231155051
2021-01-20,10664.00375,255936.09,11692.85,9049.85,944.8451724365377,2643.0,0.9120106518085839,1.0964784216247112
2021-01-21,10622.58125,254941.94999999998,11538.56,9188.92,829.0426908728366,2349.6399999999994,0.9206158524113928,1.0862293945739412
2021-01-22,10539.07625,252937.83,11453.22,8909.08,914.0748832078328,2544.1399999999994,0.9201845638169878,1.0867385080357492
2021-01-23,10427.626666666665,250263.03999999998,11307.24,9302.07,698.1094840985945,2005.17,0.9222079540778002,1.084354125962827
2021-01-24,10558.152083333332,253395.65,11901.99,9173.38,985.6206396721029,2728.6100000000006,0.8870913253441931,1.127279651406802
2021-01-25,11463.975416666668,275135.41000000003,12726.32,9818.14,1021.4982963359313,2908.1800000000003,0.9008083575351451,1.1101140343949183
2021-01-26,10858.56375,260605.53,12012.98,9182.97,977.8674151562965,2830.01,0.9039025911971883,1.106313899018183
