date,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio
2021-04-24,609.5537499999999,14629.289999999997,650.91,549.51,33.32386842887868,101.39999999999998,0.9364639504693428,1.0678467649489485
2021-04-25,636.2541666666666,15270.099999999999,741.48,544.28,67.3353108423202,197.20000000000005,0.8580867544190897,1.165383330822981
2021-04-26,699.0666666666666,16777.6,813.39,548.13,96.12335840930683,265.26,0.8594483171254461,1.1635370970818235
2021-04-27,703.9466666666667,16894.72,768.8,597.01,59.9894029530772,171.78999999999996,0.9156434269857788,1.0921281915296612
2021-04-28,705.47625,16931.43,796.37,580.37,76.76625990133381,216.0,0.8858649245953515,1.1288402692507367
2021-04-29,667.0962499999999,16010.31,711.74,571.73,49.591971283271945,140.01,0.9372751988085536,1.0669225018128945
2021-04-30,657.6170833333334,15782.810000000001,723.08,555.84,59.66952134951067,167.24,0.9094665643266767,1.099545644913675
2021-05-01,633.3295833333334,15199.910000000002,687.64,553.21,50.605637293742255,134.42999999999995,0.9210191136835167,1.0857537972264308
2021-05-02,671.2766666666668,16110.640000000001,823.87,540.42,102.26974207910929,283.45000000000005,0.814784694996379,1.2273180953705127
2021-05-03,758.7199999999999,18209.28,925.05,588.04,122.39662264451012,337.01,0.8201935030538889,1.2192244833403627
2021-05-04,669.3379166666667,16064.11,719.52,572.5,51.105131877010805,147.01999999999998,0.9302561661478024,1.0749727186878077
2021-05-05,662.3625000000001,15896.700000000003,752.13,549.87,67.86601167966444,202.26,0.8806489569622273,1.135526241295363
2021-05-06,697.7675,16746.420000000002,838.48,549.78,100.21423860692262,288.70000000000005,0.8321814473809751,1.2016610117266855
2021-05-07,717.06625,17209.59,876.38,569.06,102.29748115444231,307.32000000000005,0.8182138455920948,1.2221743806796095
2021-05-08,747.5912500000001,17942.190000000002,925.74,585.67,123.48428068637091,340.07000000000005,0.8075607081902046,1.2382969971893063
2021-05-09,684.2370833333334,16421.690000000002,765.54,609.91,41.30336268857609,155.63,0.8937966446342889,1.1188227277460479
2021-05-10,601.4183333333333,14434.039999999999,656.83,500.1,57.38399259198598,156.73000000000002,0.915637734776629,1.0921349809201029
2021-05-11,614.6574999999999,14751.779999999997,674.88,503.62,64.01341294569852,171.26,0.9107656175912754,1.097977328837605
2021-05-12,656.0699999999999,15745.679999999998,709.82,563.64,51.89551693798675,146.18000000000006,0.9242765771604067,1.0819272333744876
2021-05-13,619.8516666666667,14876.44,680.88,515.36,58.37088201035398,165.51999999999998,0.9103684447577645,1.0984563511162617
2021-05-14,630.1983333333334,15124.76,741.66,512.83,75.37768223891038,228.82999999999993,0.8497132558494909,1.1768675998825766
2021-05-15,635.82875,15259.89,753.1,518.47,83.69022712217281,234.63,0.8442819678661532,1.1844384199361857
2021-05-16,627.3758333333333,15057.019999999999,749.3,512.14,82.34105315125602,237.15999999999997,0.8372825748476356,1.1943399158664862
2021-05-17,673.6016666666666,16166.439999999997,829.83,518.14,112.18055212630361,311.69000000000005,0.8117345319724119,1.2319298497380997
2021-05-18,627.1454166666666,15051.489999999998,708.22,508.4,69.07431253362391,199.82000000000005,0.8855234484576354,1.1292755733817716
2021-05-19,684.9308333333333,16438.34,838.36,525.69,110.34595021889182,312.66999999999996,0.8169889228175644,1.2240068036066902
2021-05-20,718.57,17245.68,834.79,588.97,86.06058331199016,245.81999999999994,0.8607793576827706,1.1617378960991969
2021-05-21,739.3508333333334,17744.420000000002,878.71,587.65,101.46904655100991,291.06000000000006,0.8414048244965158,1.1884885502033877
2021-05-22,710.0837500000002,17042.010000000006,794.87,610.67,65.12036573263522,184.20000000000005,0.8933331865588087,1.1194031689923896
2021-05-23,685.4416666666666,16450.6,767.56,585.86,66.97287196850785,181.69999999999993,0.8930137926242465,1.1198035330018359
2021-05-24,677.7491666666665,16265.979999999996,779.13,540.88,85.07564020209956,238.25,0.8698794381767696,1.1495845931201196
2021-05-25,697.2612500000001,16734.270000000004,824.16,550.12,95.36472542240818,274.03999999999996,0.846026560376626,1.1819959878739852
2021-05-26,829.2429166666667,19901.83,1068.37,601.62,173.8840366320929,466.7499999999999,0.776175778678423,1.2883679541027129
2021-05-27,857.2633333333333,20574.32,1047.13,657.0,136.9213029020897,390.1300000000001,0.8186789924205526,1.2214799808693557
2021-05-28,717.8145833333334,17227.550000000003,804.68,599.39,69.91371190876879,205.28999999999996,0.8920497381982073,1.1210137251089096
