date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-01,44501.53541666667,1.06803685e6,46318.02,42417.51,1352.3434199356677,3900.5099999999948,0.9607823351832975,1.0408184698870642
2021-01-02,41532.76208333333,996786.2899999998,45845.89,36872.22,2487.4064018501354,8973.669999999998,0.9059211650888079,1.1038488099590535
2021-01-03,39669.62249999999,952070.9399999998,44422.82,35455.94,2607.419793787904,8966.879999999997,0.8930009958845474,1.1198195798308899
2021-01-04,39646.34083333334,951512.1800000002,45385.08,35623.03,2821.401753995955,9762.050000000003,0.8735544992612846,1.1447482679622658
2021-01-05,39388.51666666667,945324.4,44873.3,34646.35,3059.569452178109,10226.950000000004,0.8777717855978202,1.1392482834464022
2021-01-06,38789.27291666666,930942.5499999999,43295.6,32364.34,3547.6543409958604,10931.259999999998,0.8959172044426377,1.1161745695263365
2021-01-07,41715.20541666667,1.0011649300000002e6,45855.42,35945.71,3215.232900889924,9909.71,0.9097115546355626,1.0992495312435682
2021-01-08,43789.518749999996,1.05094845e6,48474.52,38622.81,3164.0357996000203,9851.71,0.9033512606210438,1.1069891011305075
2021-01-09,44474.98041666666,1.0673995299999998e6,50227.33,40130.48,2831.553388584465,10096.849999999999,0.8854737135473189,1.1293390020510878
2021-01-10,47988.64666666666,1.1517275199999998e6,55471.74,39529.47,5732.300627696767,15942.269999999997,0.8651008002753593,1.1559346606565415
2021-01-11,50266.71458333334,1.2064011500000001e6,55798.18,45773.23,3175.213774320495,10024.949999999997,0.9008665620157027,1.1100423105531687
2021-01-12,49223.38791666666,1.1813613099999998e6,58597.85,43886.72,4114.791302521206,14711.129999999997,0.8400203747520884,1.1904473153941364
2021-01-13,45518.692916666674,1.0924486300000001e6,56375.79,39352.76,4909.992056412134,17023.03,0.8074156107908497,1.2385195265428635
2021-01-14,42375.17041666667,1.01700409e6,50235.45,38871.47,3318.671434386486,11363.979999999996,0.8435312198192048,1.1854925775175593
2021-01-15,44102.401249999995,1.05845763e6,50378.09,38579.58,3387.151302910959,11798.509999999995,0.8754282119468999,1.142298119198215
2021-01-16,42290.19708333334,1.0149647300000002e6,49163.07,37012.55,3433.313780939163,12150.519999999997,0.860202527696772,1.162516928051283
2021-01-17,39595.54666666667,950293.1200000001,44210.36,35802.86,2266.468940137014,8407.5,0.8956169247811298,1.1165487970701082
2021-01-18,40692.677083333336,976624.25,46618.18,34622.55,3138.1566584132315,11995.629999999997,0.8728928731952499,1.1456159520921172
2021-01-19,38910.979583333334,933863.51,43892.65,31675.19,4104.996170379486,12217.460000000003,0.886503311678227,1.1280273709377509
2021-01-20,40937.87291666667,982508.95,45368.78,34179.62,3807.8626366580434,11189.159999999996,0.9023357673860013,1.1082349122621225
2021-01-21,39362.91333333332,944709.9199999998,42249.38,34780.16,2689.4659910386713,7469.219999999994,0.9316802597655475,1.0733295994182004
2021-01-22,38514.73500000001,924353.6400000001,41896.84,32807.52,3169.568290806644,9089.32,0.919275415520598,1.0878132745817928
2021-01-23,37376.25,897030.0,40458.09,32938.5,2647.132214233883,7519.5899999999965,0.9238263595735736,1.0824544998495034
2021-01-24,36704.56291666666,880909.5099999999,41131.95,31977.96,3155.6368500227586,9153.989999999998,0.892361361828619,1.1206222532436958
2021-01-25,38001.44583333333,912034.7,41728.08,31701.15,3547.03495643519,10026.93,0.9106924122397515,1.098065588951824
2021-01-26,39107.45208333333,938578.8499999999,43134.85,33199.82,3279.961971473581,9935.029999999999,0.9066323885056592,1.1029828767183494
2021-01-27,40342.23666666667,968213.68,44160.76,34177.65,3407.991377399873,9983.11,0.9135313039600467,1.0946532381157845
2021-01-28,43916.51708333333,1.05399641e6,51663.47,39434.88,3696.137776229904,12228.590000000004,0.8500496982361683,1.1764018057708565
2021-01-29,41362.89124999999,992709.3899999999,48871.54,36247.62,3384.3128581342994,12623.919999999998,0.8463594814077885,1.181531042030337
2021-01-30,36537.89916666666,876909.58,39013.97,33006.76,2091.841156117109,6007.209999999999,0.9365337382139439,1.067767192143117
2021-01-31,37025.003333333334,888600.08,40792.95,32781.04,2577.4995142084763,8011.909999999996,0.9076324054360702,1.1017676253191424
2021-02-01,40931.6875,982360.5,47907.11,35849.82,3412.133562825274,12057.29,0.8543969256337942,1.1704161964981288
2021-02-02,40419.45583333333,970066.9400000001,47524.18,36601.61,3122.4682821362812,10922.57,0.8505029615099794,1.1757748594133102
2021-02-03,38987.894583333335,935709.4700000001,44705.32,34327.14,2785.407835065325,10378.18,0.8721086122039465,1.1466461699912045
2021-02-04,37501.73125,900041.5499999999,41451.58,31184.54,3499.311456409567,10267.04,0.9047117444015402,1.1053244375218012
2021-02-05,39695.14375000001,952683.4500000002,43699.57,33597.25,3337.2352610295907,10102.32,0.9083646303613516,1.1008794999010425
2021-02-06,38540.32666666666,924967.8399999999,42280.58,36012.92,1874.760996140382,6267.6600000000035,0.9115373220203379,1.0970477849262308
2021-02-07,38968.964166666665,935255.14,43128.04,36367.21,2104.1365577727593,6760.830000000002,0.9035644598425215,1.10672790314737
2021-02-08,39061.57708333333,937477.8499999999,41891.96,34258.45,2727.337712054645,7633.510000000002,0.9324361305446995,1.0724595146434661
2021-02-09,43484.42333333333,1.04362616e6,48567.3,34628.65,4885.099697646397,13938.650000000001,0.8953436434253773,1.1168895957916578
2021-02-10,48457.84333333333,1.16298824e6,53979.78,39947.72,4779.607139761381,14032.059999999998,0.8977036092650494,1.1139534136647848
2021-02-11,55935.198333333334,1.34244476e6,61120.0,46226.92,5345.319542398276,14893.080000000002,0.9151701297993019,1.0926930058559727
2021-02-12,60017.02166666667,1.44040852e6,63997.23,53141.03,3784.2849963312724,10856.200000000004,0.9378065529815378,1.0663179915097976
2021-02-13,59079.87583333333,1.41791702e6,64132.07,55251.93,2714.735475485622,8880.14,0.9212220318685072,1.0855146375208897
2021-02-14,62876.355,1.50903252e6,69692.49,54701.39,5288.710484694076,14991.100000000006,0.9021969942528958,1.1084053775063774
2021-02-15,49227.95250000001,1.18147086e6,65777.08,43704.3,5914.989882948641,22072.78,0.7484058656906023,1.3361733864515286
2021-02-16,45116.062916666655,1.0827855099999998e6,46796.66,42691.44,1037.8188145314534,4105.220000000001,0.9640872429072214,1.037250526191471
2021-02-17,45539.92625000001,1.0929582300000002e6,49445.35,42628.67,2310.937982895619,6816.68,0.9210153482582288,1.0857582361587594
2021-02-18,52126.03625,1.2510248699999999e6,55723.51,47970.87,2616.127425737137,7752.639999999999,0.9354406470446675,1.0690149109505713
2021-02-19,49204.34333333333,1.18090424e6,58610.02,39794.69,5531.529303673361,18815.329999999994,0.8395210125049153,1.1911554149386405
2021-02-20,42714.81791666666,1.0251556299999998e6,52761.14,33953.36,6247.02807680718,18807.78,0.8095886085226107,1.235195245428248
2021-02-21,34480.073749999996,827521.7699999999,37378.24,31185.46,1982.7608157200634,6192.779999999999,0.9224638118327668,1.0840533657501241
2021-02-22,34896.77708333333,837522.6499999999,40800.91,30092.1,2863.0453434676847,10708.810000000005,0.855294087394946,1.1691884870218139
2021-02-23,35011.30333333334,840271.28,39688.69,30421.78,2743.267654198368,9266.910000000003,0.8821481216269254,1.133596473748335
2021-02-24,34302.441249999996,823258.59,38738.83,27800.15,3679.2774488706254,10938.68,0.8854795369400675,1.1293315749064947
2021-02-25,36816.7425,883601.82,41921.72,29467.27,4209.700530200146,12454.45,0.8782259530381864,1.138659130421438
2021-02-26,37471.52125,899316.51,40357.13,32797.07,2643.8534518393258,7560.059999999998,0.9284981674861419,1.0770080491461231
2021-02-27,35472.38666666666,851337.2799999998,38356.19,31134.47,2623.1585647901434,7221.720000000001,0.9248151775936728,1.081297132906009
2021-02-28,35050.98541666666,841223.6499999999,40323.96,29383.02,3824.1759392261674,10940.939999999999,0.8692347035525941,1.150437270754335
2021-03-01,37881.745,909161.88,42069.37,31124.11,3711.1223592764686,10945.260000000002,0.9004590513240394,1.1105446699987025
2021-03-02,37812.213749999995,907493.1299999999,43804.91,34208.99,2745.7561680477534,9595.920000000006,0.8631957867280173,1.1584857287018804
2021-03-03,37725.93583333333,905422.4599999998,45050.26,33656.41,2966.510386987314,11393.849999999999,0.8374188258476938,1.1941455925447224
2021-03-04,36337.46958333333,872099.27,40775.89,31995.17,2627.6601627427076,8780.720000000001,0.8911508634963782,1.1221444549540789
2021-03-05,35544.06708333332,853057.6099999998,38368.78,29859.97,3144.0231451430936,8508.809999999998,0.9263799131307621,1.0794707288292056
2021-03-06,33959.08458333332,815018.0299999998,36038.91,30723.98,1737.4813654051816,5314.930000000004,0.942289447248358,1.0612450377324787
