date,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio
2021-01-01,7181.081249999999,172345.94999999998,8021.64,6006.42,608.2217738500703,2015.2200000000003,0.8952136034526604,1.117051836727234
2021-01-02,6639.761666666665,159354.27999999997,7801.92,5596.98,595.5250002686097,2204.9400000000005,0.8510420084628739,1.175030127838424
2021-01-03,6387.416666666665,153297.99999999997,7543.01,5499.93,598.1768533430246,2043.08,0.8467994430163376,1.180917167869118
2021-01-04,6230.735416666667,149537.65000000002,7630.92,5378.69,619.2263215741509,2252.2300000000005,0.8165116940901841,1.224722202067506
2021-01-05,6028.551666666666,144685.24,7023.74,5079.55,604.2115195544677,1944.1899999999996,0.85831076700827,1.1650791746276261
2021-01-06,5648.111666666667,135554.68,6477.38,4561.18,603.2939221269863,1916.1999999999998,0.8719747284653157,1.1468222270156958
2021-01-07,6376.06375,153025.53,7474.2,5308.24,654.4520698749351,2165.96,0.8530764162050789,1.1722279282417776
2021-01-08,7061.992916666667,169487.83000000002,8482.39,6174.22,691.4352033238334,2308.169999999999,0.8325475386850484,1.2011326122943458
2021-01-09,7252.510416666665,174060.24999999997,8523.29,6510.46,576.1790129697328,2012.8300000000008,0.8509050397987942,1.1752192703388629
2021-01-10,8253.752916666666,198090.07,9918.61,6203.12,1362.7566035492948,3715.4900000000007,0.8321481454222583,1.201709101319415
2021-01-11,8545.787916666666,205098.90999999997,9629.25,7846.35,546.0114237057776,1782.8999999999996,0.8874821940095715,1.1267831701299633
2021-01-12,8517.833333333332,204427.99999999997,10566.68,7236.42,909.4584953489185,3330.26,0.8061030837815976,1.2405361300800284
2021-01-13,7600.302083333333,182407.25,10023.77,6068.12,1155.698167444511,3955.6500000000005,0.7582279006135748,1.3188646832842446
2021-01-14,6792.706666666666,163024.96,8683.44,5916.24,785.4020584204083,2767.2000000000007,0.7822598724315094,1.2783475610115165
2021-01-15,6757.844583333334,162188.27000000002,8093.78,5939.01,657.1867214315166,2154.7699999999995,0.8349429541367982,1.1976866144512175
2021-01-16,6759.427500000001,162226.26,8285.17,5610.48,752.3080037790373,2674.6900000000005,0.8158465668175789,1.2257206693910097
2021-01-17,6185.406666666667,148449.76,7385.4,5428.02,535.2622409758536,1957.3799999999992,0.8375181664725901,1.194003951235758
2021-01-18,6257.356666666667,150176.56,7257.71,5138.87,567.6074007289888,2118.84,0.8621668083550689,1.1598683576185258
2021-01-19,5790.403333333333,138969.68,6803.61,4478.78,756.5826874127861,2324.83,0.8510780796273351,1.1749803266439125
2021-01-20,6632.7283333333335,159185.48,7427.57,5348.19,742.2636896663486,2079.38,0.8929876572463583,1.119836306678222
2021-01-21,6061.9920833333335,145487.81,6732.79,5294.78,459.31425472232314,1438.0100000000002,0.9003685074587702,1.110656349834395
2021-01-22,5746.908333333334,137925.80000000002,6352.38,4834.43,518.170355029969,1517.9499999999998,0.9046858552752407,1.1053560682627905
2021-01-23,5542.860833333332,133028.65999999997,6294.06,4604.35,556.7147617002154,1689.71,0.8806495065718045,1.1355255326183098
2021-01-24,5494.441666666667,131866.6,6433.36,4527.08,652.4508826935069,1906.2799999999997,0.8540547500321243,1.1708851217821648
2021-01-25,5616.993749999999,134807.84999999998,6479.44,4600.22,586.1651183442996,1879.2199999999993,0.8668949399948143,1.153542319679455
2021-01-26,5774.220416666667,138581.29,6753.71,4725.77,614.776226765049,2027.9399999999996,0.8549701448043618,1.169631484885153
2021-01-27,5931.544166666667,142357.06,6709.02,4792.19,646.8255617136911,1916.8300000000008,0.8841148433998804,1.1310747777454804
2021-01-28,6912.461666666666,165899.08,8488.68,5903.3,764.1609126734833,2585.38,0.8143152606373035,1.2280256165374759
2021-01-29,6445.30875,154687.41,8205.16,5302.76,755.8283219282038,2902.3999999999996,0.78551896002028,1.2730437467406042
2021-01-30,5445.9675,130703.22,6146.35,4657.84,487.4367203902293,1488.5100000000002,0.8860490372334799,1.1286057068831206
2021-01-31,5469.3358333333335,131264.06,6285.38,4654.95,488.0701840649441,1630.4300000000003,0.8701678869588367,1.149203521512286
2021-02-01,6229.447916666667,149506.75,7537.19,5223.52,647.3553195215608,2313.669999999999,0.826494743620191,1.2099290500261692
2021-02-02,6290.865833333333,150980.78,7834.66,5555.26,642.5127773584277,2279.3999999999996,0.8029532657873263,1.2454024942777484
2021-02-03,6004.057083333333,144097.37,7159.38,5181.43,546.1324328440553,1977.9499999999998,0.8386280771984911,1.192423706275833
2021-02-04,5732.196250000002,137572.71000000005,6583.13,4551.7,691.1752125487776,2031.4300000000003,0.8707402481798174,1.1484481188165876
2021-02-05,6059.126666666666,145419.03999999998,6928.5,4646.87,775.9818183362325,2281.63,0.8745221428399604,1.1434816238643855
2021-02-06,5703.350000000002,136880.40000000005,6390.76,5252.09,328.97741698626754,1138.67,0.8924368932646511,1.120527409329604
2021-02-07,5761.72125,138281.31,6658.36,5184.22,427.41661115318595,1474.1399999999994,0.8653363966502262,1.1556199460360912
2021-02-08,5787.225833333334,138893.42,6504.72,4749.57,594.3304023778185,1755.1500000000005,0.8896963794495895,1.1239789473108228
2021-02-09,5757.984583333334,138191.63,6675.46,4492.3,715.3413829590259,2183.16,0.8625599708983851,1.159339679255538
2021-02-10,7058.917916666665,169414.02999999997,8650.12,4984.73,1224.0040930770554,3665.3900000000012,0.8160485538543586,1.225417280965455
2021-02-11,9724.190833333334,233380.58000000002,10941.49,7418.32,1267.4382979576205,3523.17,0.8887446621377284,1.1251825666042992
