date,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio
2021-01-01,885.1479166666667,21243.55,934.5,819.55,39.24957124985064,114.95000000000005,0.9471887818797932,1.0557557470385128
2021-01-02,797.3266666666667,19135.84,885.48,694.29,51.739430314561474,191.19000000000005,0.9004457092951469,1.1105611250930192
2021-01-03,776.3445833333334,18632.27,884.69,681.0,55.78616058542046,203.69000000000005,0.8775329022972266,1.139558411293954
2021-01-04,781.8654166666666,18764.77,927.8,706.04,65.3430402121501,221.76,0.8427090069698929,1.1866492368411656
2021-01-05,778.74625,18689.91,945.52,705.15,70.7132060609123,240.37,0.8236168986377866,1.2141567294866589
2021-01-06,808.6912499999999,19408.589999999997,897.64,667.17,80.57677663664744,230.47000000000003,0.9009082148745599,1.1099909885262147
2021-01-07,843.3241666666668,20239.780000000002,932.22,749.29,56.06689458887999,182.93000000000006,0.9046407142806062,1.105411224825566
2021-01-08,859.6491666666669,20631.580000000005,942.78,758.64,62.02899798142567,184.14,0.911823719920519,1.0967032093518767
2021-01-09,867.4991666666665,20819.979999999996,1012.84,745.76,75.0492925504221,267.08000000000004,0.8565016850308701,1.167540026455357
2021-01-10,898.0575,21553.38,986.83,788.02,69.54730528021292,198.81000000000006,0.9100427631912285,1.0988494611981972
2021-01-11,893.5220833333333,21444.53,1021.78,790.55,71.29254421528528,231.23000000000002,0.8744759961374594,1.1435419661797204
2021-01-12,892.2841666666668,21414.820000000003,1099.0,761.94,93.59802742796346,337.05999999999995,0.8119055201698515,1.2316704039538973
2021-01-13,852.4687500000001,20459.250000000004,1061.53,736.27,93.85283523143165,325.26,0.8030566729155089,1.2452421276439751
2021-01-14,820.6037500000001,19694.49,949.74,744.14,61.73793209396579,205.60000000000002,0.864029892391602,1.1573673651869125
2021-01-15,863.2829166666666,20718.789999999997,973.84,771.42,58.717630155884095,202.42000000000007,0.8864730516991154,1.128065876433904
2021-01-16,818.3566666666667,19640.56,953.52,728.23,64.36859277809235,225.28999999999996,0.8582480353497217,1.1651643333998623
2021-01-17,778.9945833333333,18695.87,846.32,707.42,39.08512827141232,138.9000000000001,0.9204492193654094,1.086426039547772
2021-01-18,806.5658333333331,19357.579999999994,974.03,687.1,78.7074983399138,286.92999999999995,0.8280708328627795,1.2076261598815559
2021-01-19,778.7058333333334,18688.940000000002,853.36,658.06,64.99608001000266,195.30000000000007,0.9125173822693042,1.0958695356719
2021-01-20,820.1191666666668,19682.860000000004,897.6,709.77,62.29088773590834,187.83000000000004,0.9136799985145575,1.0944750915263328
2021-01-21,783.0262499999999,18792.629999999997,856.82,707.67,47.04609939128623,149.1500000000001,0.9138748511939495,1.0942417319981292
2021-01-22,771.4541666666668,18514.9,835.39,663.37,60.21568110923662,172.01999999999998,0.9234658861928761,1.0828770341724772
2021-01-23,752.3979166666667,18057.55,828.36,682.66,47.019024084999856,145.70000000000005,0.9082982237996362,1.1009599862661326
2021-01-24,711.9504166666666,17086.809999999998,788.87,638.59,48.487621771295736,150.27999999999997,0.9024939681654348,1.1080406465571984
2021-01-25,720.9545833333332,17302.909999999996,806.7,621.92,58.83082554750909,184.7800000000001,0.8937084211396221,1.1189331736684758
2021-01-26,802.3216666666666,19255.719999999998,943.1,698.07,71.12476848998264,245.02999999999997,0.8507280952885872,1.175463706368809
2021-01-27,873.9849999999998,20975.639999999996,998.61,757.73,70.59299959135005,240.88,0.8752015301268762,1.142593980445889
2021-01-28,909.8312500000001,21835.95,1108.13,796.43,92.39267391964442,311.70000000000016,0.8210510048460018,1.2179511310476532
2021-01-29,827.8754166666666,19869.01,994.3,729.42,74.19515676090562,264.88,0.8326213584096014,1.2010261205767172
2021-01-30,703.5854166666667,16886.05,770.23,666.69,31.037889744936603,103.53999999999996,0.9134744383712224,1.094721382442904
2021-01-31,757.9279166666665,18190.269999999997,849.34,668.58,54.707724673479845,180.76,0.892372803196207,1.1206078854244608
2021-02-01,811.4083333333334,19473.800000000003,994.72,716.03,79.17597701469735,278.69000000000005,0.8157153101710365,1.225917899947622
2021-02-02,772.645,18543.48,903.93,697.27,60.02369054037712,206.65999999999997,0.85476198378193,1.1699163263853387
2021-02-03,752.9770833333333,18071.45,901.36,645.31,66.11326502951069,256.05000000000007,0.8353788534362888,1.1970616635632447
2021-02-04,707.3337499999999,16976.01,795.12,590.53,65.59026006779413,204.59000000000003,0.8895937091256664,1.1241086686447523
2021-02-05,779.3024999999999,18703.26,904.91,710.68,59.450609624987095,194.23000000000002,0.8611933783470178,1.1611793879783525
2021-02-06,797.2024999999999,19132.859999999997,874.6,732.54,42.476097344885325,142.06000000000006,0.9115052595472214,1.09708637391378
2021-02-07,810.6129166666666,19454.71,920.81,723.55,57.034263041512204,197.26,0.8803259268108151,1.1359429156230034
2021-02-08,863.8520833333333,20732.45,930.83,749.27,61.6944654680147,181.56000000000006,0.9280449527124537,1.0775340106933817
2021-02-09,1055.7733333333335,25338.560000000005,1146.51,849.9,96.1502355992803,296.61,0.9208583730916726,1.085943321167422
2021-02-10,1149.645416666667,27591.490000000005,1229.91,1022.01,67.93708886386801,207.9000000000001,0.93473946603139,1.0698168167068902
2021-02-11,1192.1425000000002,28611.420000000002,1285.15,1087.56,61.66329245958672,197.59000000000015,0.9276290705365133,1.0780170994658775
2021-02-12,1210.0525,29041.260000000002,1289.66,1097.85,61.133191600123354,191.81000000000017,0.9382724904238325,1.0657884678557337
2021-02-13,1205.9679166666667,28943.23,1334.35,1094.32,65.53623617505626,240.02999999999997,0.9037868000649506,1.1064556374668617
2021-02-14,1318.605,31646.52,1421.3,1151.88,93.30325568670756,269.41999999999985,0.9277457257440372,1.0778815490613185
