date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio
2021-01-01,11331.41125,271953.87,12011.27,10723.9,401.76235853194646,1287.3700000000008,0.9433982626316784,1.0599977121119843
2021-01-02,11352.614166666668,272462.74000000005,12059.38,10694.92,468.078382203485,1364.4599999999991,0.9413928549118337,1.0622557785332407
2021-01-03,10817.481249999999,259619.54999999996,11502.6,10063.19,421.85837997986846,1439.4099999999999,0.940437922730513,1.063334406056863
2021-01-04,10897.277083333334,261534.65000000002,11685.25,9586.24,761.8532722905499,2099.01,0.932566875619549,1.072309156740799
2021-01-05,10769.019166666667,258456.46000000002,11627.08,9253.94,833.2781251331168,2373.1399999999994,0.9262015197854205,1.0796786429714311
2021-01-06,10919.640416666667,262071.37,11844.1,9387.3,882.326090135955,2456.800000000001,0.9219476715551765,1.0846602587684415
2021-01-07,11360.496249999998,272651.91,12242.81,9794.83,847.6286357259984,2447.9799999999996,0.9279320883032571,1.0776650711891218
2021-01-08,11847.055416666664,284329.32999999996,12582.65,10521.13,715.1755936039592,2061.5200000000004,0.9415389776133537,1.0620909211160172
2021-01-09,11701.935833333331,280846.45999999996,12779.92,10772.08,576.5030420366714,2007.8400000000001,0.9156501631726436,1.0921201570423926
2021-01-10,12756.679583333333,306160.31,14768.14,10577.9,1513.3796495936394,4190.24,0.8637973084852482,1.1576789950336803
2021-01-11,13905.552916666666,333733.26999999996,15130.12,12341.7,926.0612336570553,2788.42,0.9190642847952736,1.0880631709268904
2021-01-12,13311.095416666665,319466.29,15144.15,11876.29,829.5439807402784,3267.8599999999988,0.8789595597419905,1.1377087704621356
2021-01-13,12407.643333333332,297783.43999999994,14314.41,11477.29,882.0271787721473,2837.119999999999,0.8667939044175297,1.1536767793400466
2021-01-14,11827.630833333335,283863.14,13599.1,10610.55,799.5215302042498,2988.550000000001,0.8697362938233658,1.1497737959215133
2021-01-15,11986.999166666666,287687.98,13184.57,10334.69,893.6186702582136,2849.879999999999,0.909168760654816,1.0999058076739945
2021-01-16,11558.907083333334,277413.77,12534.97,10562.18,535.9191068620514,1972.789999999999,0.9221328079232207,1.0844424918056519
2021-01-17,10990.72375,263777.37,11829.07,10197.56,447.18997623140854,1631.5100000000002,0.9291283042538424,1.0762776200247959
2021-01-18,11243.004166666666,269832.1,12466.22,9933.24,670.276078862231,2532.9799999999996,0.9018775672711268,1.108797952504539
2021-01-19,10733.381249999999,257601.14999999997,11743.33,9171.6,931.3400308779607,2571.7299999999996,0.9139980950888716,1.094094183973946
2021-01-20,10669.912083333335,256077.89000000004,11692.85,9049.85,939.1763924704089,2643.0,0.9125159463546813,1.095871260107618
2021-01-21,10621.064583333333,254905.55,11538.56,9188.92,830.5080928850995,2349.6399999999994,0.920484409088598,1.0863845059473989
