"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-29","3.3",",,W","0.0",",,W,2400","0.0",",,W","20.6",",,W","0.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-30","4.7",",,W","0.0","T,,W,2400","0.0",",,W","25.6",",,W","10.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-31","5.3",",,W","0.0",",,W,2400","0.0",",,W","21.1",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-01","2.8",",,W","0.0",",,W,2400","0.0",",,W","18.9",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-02","2.0",",,W","0.0",",,W,2400","0.0",",,W","20.0",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-03","4.2",",,W","0.0",",,W,2400","0.0",",,W","25.0",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-04","6.3",",,W","0.0",",,W,2400","0.0",",,W","30.0",",,W","12.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-05","3.5",",,W","0.5",",,W,2400","0.0",",,W","15.0",",,W","7.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-06","3.3",",,W","0.0","T,,W,2400","0.0",",,W","25.0",",,W","7.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-07","3.7",",,W","0.0",",,W,2400","0.0",",,W","21.7",",,W","1.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-08","2.3",",,W","0.0",",,W,2400","0.0",",,W","25.0",",,W","6.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-09","4.2",",,W","0.0","T,,W,2400","0.0",",,W","17.8",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-10","6.5",",,W","1.8",",,W,2400","0.0",",,W","8.9",",,W","2.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-11","7.5",",,W","12.2",",,W,2400","0.0",",,W","3.3",",,W","0.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-12","7.9",",,W","0.0","T,,W,2400","0.0",",,W","1.1",",,W","-1.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-13","7.4",",,W","0.0","T,,W,2400","0.0","T,,W","0.0",",,W","-2.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-14","8.3",",,W","2.8",",,W,2400","8.0",",,W","-0.5",",,W","-9.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-15","6.0",",,W","8.6",",,W,2400","155.0",",,W","-4.9",",,W","-12.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-16","2.6",",,W","0.3",",,W,2400","0.0",",,W","-2.7",",,W","-14.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-17","5.6",",,W","18.8",",,W,2400","0.0",",,W","0.0",",,W","-4.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-18","6.2",",,W","0.0","T,,W,2400","3.0",",,W","0.0",",,W","-2.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-19","1.4",",,W","0.0",",,W,2400","0.0",",,W","7.2",",,W","-6.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-20","3.3",",,W","0.0",",,W,2400","0.0",",,W","17.2",",,W","-6.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-21","4.0",",,W","0.0",",,W,2400","0.0",",,W","24.4",",,W","0.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-22","1.8",",,W","0.0",",,W,2400","0.0",",,W","24.4",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-23","4.7",",,W","0.0",",,W,2400","0.0",",,W","26.1",",,W","1.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-24","3.8",",,W","0.0",",,W,2400","0.0",",,W","28.3",",,W","17.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-25","4.9",",,W","1.5",",,W,2400","0.0",",,W","18.9",",,W","11.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-26","1.9",",,W","0.3",",,W,2400","0.0",",,W","16.1",",,W","9.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-27","3.8",",,W","0.0","T,,W,2400","0.0",",,W","26.7",",,W","13.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-02-28","4.5",",,W","0.0",",,W,2400","0.0",",,W","25.6",",,W","15.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-01","8.8",",,W","0.0","T,,W,2400","0.0",",,W","15.6",",,W","10.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-02","4.3",",,W","0.0",",,W,2400","0.0",",,W","18.9",",,W","2.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-03","2.3",",,W","0.0",",,W,2400","0.0",",,W","22.8",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-04","3.4",",,W","0.0",",,W,2400","0.0",",,W","25.0",",,W","3.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-05","4.9",",,W","0.0",",,W,2400","0.0",",,W","27.2",",,W","10.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-06","5.1",",,W","0.0",",,W,2400","0.0",",,W","20.6",",,W","5.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-07","1.5",",,W","0.0",",,W,2400","0.0",",,W","21.7",",,W","2.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-08","3.0",",,W","0.0",",,W,2400","0.0",",,W","22.8",",,W","4.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-09","6.2",",,W","0.0",",,W,2400","0.0",",,W","25.6",",,W","10.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-10","7.6",",,W","0.0",",,W,2400","0.0",",,W","28.9",",,W","17.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-11","6.4",",,W","0.0",",,W,2400","0.0",",,W","27.8",",,W","20.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-12","5.9",",,W","0.0",",,W,2400","0.0",",,W","28.3",",,W","20.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-13","7.1",",,W","2.8",",,W,2400","0.0",",,W","26.1",",,W","20.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-14","3.1",",,W","1.8",",,W,2400","0.0",",,W","23.9",",,W","6.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-15","2.4",",,W","0.0",",,W,2400","0.0",",,W","30.0",",,W","2.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-16","4.9",",,W","0.0","T,,W,2400","0.0",",,W","28.9",",,W","19.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-17","7.0",",,W","0.0","T,,W,2400","0.0",",,W","26.1",",,W","13.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-18","6.7",",,W","0.0",",,W,2400","0.0",",,W","23.3",",,W","8.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-19","5.2",",,W","0.0",",,W,2400","0.0",",,W","21.7",",,W","6.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-20","1.3",",,W","0.0",",,W,2400","0.0",",,W","21.7",",,W","2.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-21","3.5",",,W","0.0",",,W,2400","0.0",",,W","23.9",",,W","5.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-22","5.0",",,W","3.6",",,W,2400","0.0",",,W","22.2",",,W","13.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-23","2.0",",,W","6.4",",,W,2400","0.0",",,W","27.2",",,W","10.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-24","3.1",",,W","0.0","T,,W,2400","0.0",",,W","22.2",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-25","3.3",",,W","2.8",",,W,2400","0.0",",,W","24.4",",,W","10.6",",,W"
