location,target,model,mae,rmse,r2,n_train,n_test
austin,scent_daily,RidgeRegression,48.16103839326378,439.7740386330116,0.9998622932402377,876,219
austin,scent_daily,LinearRegression,53.87113889132074,440.0539453857097,0.999862117889648,876,219
austin,scent_daily,DecisionTree,630.6940060528099,841.50220062644,0.9994957956412216,876,219
austin,scent_daily,RandomForest,1158.916463470321,2053.473527416916,0.9969975602537573,876,219
austin,scent_daily,MeanBaseline,32114.191788536526,37544.39676135466,-0.003659374052416231,876,219
dallas,north_daily,RidgeRegression,7.6376541535316465,68.70131183450737,0.9998543923497974,876,219
dallas,north_daily,LinearRegression,8.889244022902675,68.7759799377096,0.9998540756701003,876,219
dallas,north_daily,DecisionTree,107.17577008453877,145.49761696410027,0.9993469207367738,876,219
dallas,north_daily,RandomForest,167.88824200913268,250.09318959698737,0.9980704418801426,876,219
dallas,north_daily,MeanBaseline,4586.738314463837,5741.843065804358,-0.017083877872391184,876,219
houston,coast_daily,LinearRegression,130.2707715878185,799.0534946220249,0.9997918034040895,876,219
houston,coast_daily,RidgeRegression,114.83971314174141,799.2317995565442,0.9997917104775895,876,219
houston,coast_daily,DecisionTree,998.7098593602847,1495.0865503546515,0.9992711224342447,876,219
houston,coast_daily,RandomForest,1888.1138940639291,3720.7968870347863,0.9954856644161669,876,219
houston,coast_daily,MeanBaseline,48439.99928848439,55628.02559048536,-0.009041911589779073,876,219
san_antonio,scent_daily,LinearRegression,59.25535627751392,439.40617827723446,0.9998625235206388,876,219
san_antonio,scent_daily,RidgeRegression,51.44091865717181,439.6558707925035,0.9998623672342563,876,219
san_antonio,scent_daily,DecisionTree,630.6940060528069,841.5022006264376,0.9994957956412216,876,219
san_antonio,scent_daily,RandomForest,1124.4246876712364,1917.807155967943,0.9973811781651494,876,219
san_antonio,scent_daily,MeanBaseline,32114.191788536526,37544.39676135466,-0.003659374052416231,876,219
